"시스템","DNS 이름","사용자","호스트","에이전트 버전","데이터스토어","상태"
"pkorvd082","pkorvd082.ad.here.com","ad.here.com\solkar","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd038","pkorvd038.ad.here.com","ad.here.com\ashetye","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds31]","연결됨"
"pkorvd075","pkorvd075.ad.here.com","ad.here.com\manki","pkor01esx112.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd010","pkorvd010.ad.here.com","ad.here.com\prashukl","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd030","pkorvd030.ad.here.com","ad.here.com\ankshind","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd026","pkorvd026.ad.here.com","ad.here.com\amulla","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd161","pkorvd161.ad.here.com","ad.here.com\ssuryawa","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd121","pkorvd121.ad.here.com","ad.here.com\sarkar","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd105","pkorvd105.ad.here.com","ad.here.com\mulchand","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd111","pkorvd111.ad.here.com","ad.here.com\gajula","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd108","pkorvd108.ad.here.com","ad.here.com\kmungeka","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd037","pkorvd037.ad.here.com","ad.here.com\soans","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds31]","연결됨"
"pkorvd077","pkorvd077.ad.here.com","ad.here.com\modak","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd006","pkorvd006.ad.here.com","ad.here.com\polekar","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd053","pkorvd053.ad.here.com","ad.here.com\gchaudha","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd079","pkorvd079.ad.here.com","ad.here.com\cshaikh","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd001","pkorvd001.ad.here.com","ad.here.com\tpelai","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd011","pkorvd011.ad.here.com","ad.here.com\fengu","pkor01esx116.core.in.here.com","7.1.0","[kor-pure01-ds24]","사용 가능"
"pkorvd067","pkorvd067.ad.here.com","ad.here.com\dhaigude","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd115","pkorvd115.ad.here.com","ad.here.com\akrao","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd059","pkorvd059.ad.here.com","ad.here.com\vaswani","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd089","pkorvd089.ad.here.com","ad.here.com\monteiro","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds31]","연결됨"
"pkorvd096","pkorvd096.ad.here.com","ad.here.com\apillai","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds24]","연결됨"
"pkorvd048","pkorvd048.ad.here.com","ad.here.com\vshirke","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd036","pkorvd036.ad.here.com","ad.here.com\ranbhor","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd071","pkorvd071.ad.here.com","ad.here.com\adm-zmitchel","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd050","pkorvd050.ad.here.com","ad.here.com\agarwal","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd109","pkorvd109.ad.here.com","ad.here.com\suhegde","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd065","pkorvd065.ad.here.com","ad.here.com\aksrane","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd040","pkorvd040.ad.here.com","ad.here.com\kadlak","pkor01esx119.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd066","pkorvd066.ad.here.com","ad.here.com\banilkum","pkor01esx119.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd094","pkorvd094.ad.here.com","ad.here.com\ambare","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds24]","연결됨"
"pkorvd106","pkorvd106.ad.here.com","ad.here.com\pmasurka","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd101","pkorvd101.ad.here.com","ad.here.com\mverdons","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd056","pkorvd056.ad.here.com","ad.here.com\rushetty","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd034","pkorvd034.ad.here.com","ad.here.com\bhamore","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd058","pkorvd058.ad.here.com","ad.here.com\sikamble","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd139","pkorvd139.ad.here.com","ad.here.com\capferna","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
